Region,China,EU27,India,RoW,Russia,USA
Aluminium (stock_addition),7104279.319227946,3056623.510600176,898880.4686767714,7619154.046174708,888171.4370943535,3038496.988336579
Lead (stock_addition),214908.8858285614,661960.4969522689,2467146.955052246,1154038.6511079357,31438.074384375217,681213.2894315326
Copper (stock_addition),1317152.2647924544,454704.2932654275,264961.0428015982,1826842.2697778856,151289.58067599102,393739.731597596
non-ferrous metals (stock_addition),1736034.3261881175,1595703.9409292005,8132704.052481111,8163011.294061972,197708.6033491417,1185603.115088998
Construction materials and mining waste (excl. unused mining material) (stock_addition),763903.8486211268,32717487.06755292,2072314.8224488515,40849247.33239648,2992700.178702104,4775538.841919644
Oils and hazardous materials (stock_addition),10171163.484288111,4226343.67794197,826047.676102031,14929082.595235238,407438.1623802008,4263144.432332059
Sewage (stock_addition),0.0,741313.3747333556,0.0,2559138.3762249174,0.0,0.0
Mining waste (stock_addition),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (stock_addition),0.0,0.0,0.0,0.0,0.0,0.0
supply of crop residues (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
use as feed of crop residues (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
use as straw of crop residues (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
supply of energy crops (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
use of energy crops (crop_res),578420.90007,279886.03421105,836020.0,3743939.9388148696,6229.519,20972.0
grass (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
other non market feed (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
use of other non-N nutrients from N-fertilisers (crop_res),11965.287037173632,674010.9662694845,0.0,181838.32070958408,340.28304563881164,156.8035774693022
Food (Unreg_w),26767890.38910127,14271073.63911713,48575542.151336014,116917175.99776608,8349041.652883623,19988794.831725053
Manure (Unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Textile (Unreg_w),3644.756045157641,0.0001985135652513,0.0,0.0,0.0,0.0
Wood (Unreg_w),7257.453122533967,7.087091232336178,0.0,0.2655745486529054,0.0,0.0099999997473787
Paper (Unreg_w),1723.1530944207811,0.1771253657683951,0.0,730.5987234323559,0.0,0.0100000007078051
Plastics (Unreg_w),2300.7519784433457,8802.364038626058,0.0,31511.836070516296,0.0,0.0
Glass (Unreg_w),1.214315346198037,4246.486416752443,0.030006657549478,195403.48069458897,0.0300576651229674,0.0
Ashes (Unreg_w),0.0199999978212872,17577.614976935827,0.0099999997764825,180283.67253136312,0.0199954607847243,0.0099999973026569
Steel (Unreg_w),5.383794699129009,2136.7290661886386,0.029999929815858,0.3032845465198467,0.0300177788896575,0.0099999966332688
Precious metals (Unreg_w),0.0223651359281487,0.2029858880873568,0.0593661208478872,2.046700085099823,0.0152418752020064,0.0100958153238526
Aluminium (Unreg_w),0.4674608660739119,828.4844285771538,0.0300005581042624,2799.00361596587,0.030110267100653,0.0099999973317608
Lead (Unreg_w),0.0659881601329287,12.401439838975062,34.0687307698861,17.64775743838936,0.0370404312074432,0.009999970305671
Copper (Unreg_w),0.1130956645803082,7.933958431553413,0.0300041175855553,0.7203375352821427,0.0303067274004951,0.0099999725036923
non-ferrous metals (Unreg_w),0.94428434573167,7.7476323835647,0.0299990058761209,1.4246794926127817,0.0303955387910591,0.009999986566072
Construction materials and mining waste (excl. unused mining material) (Unreg_w),0.0388162873833362,37.61265407486662,0.0299999728388432,0.2536554128552442,0.0299937487596223,0.0099999969079362
Oils and hazardous materials (Unreg_w),0.0534786657041286,69.22988641080526,0.0300004829714451,3344.5837027990683,0.0310544794293096,0.0099999967642361
Sewage (Unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (Unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (Unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: High-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: High-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Low-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Low-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Medium-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Medium-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Vulnerable employment,0.0,0.0,0.0,0.0,0.0,0.0
Employment: High-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment: High-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Low-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Low-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Medium-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Medium-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Vulnerable employment,0.0,0.0,0.0,0.0,0.0,0.0
